data/music/adventurers_wish.ogg,      Storyteller, GPL
data/music/ambiance-church-1.ogg,     Natalie, public domain, http://soundbible.com/253-Church-Bells-Ringing.html
data/music/ambiance-demon-1.ogg,      Adam Webb, public domain, http://soundbible.com/1883-Scary-Demon-Haunting.html
data/music/ambiance-restaurant-1.ogg, stephan, public domain, http://soundbible.com/1664-Restaurant-Ambiance.html
data/music/a_weird_place.ogg,         Storyteller, GPL
data/music/bongos.ogg,                MarleneAyni, CC0, http://freesound.org/people/MarleneAyni/sounds/89608/
data/music/bongos.wav.xz,             MarleneAyni, CC0, http://freesound.org/people/MarleneAyni/sounds/89608/
data/music/christmastree.mid,         Markus Keunecke, public domain, based on score "Es lebe hoch der Zimmermannsgeselle (1799)" or even older
data/music/christmastree.mscz,        Markus Keunecke, public domain, based on score "Es lebe hoch der Zimmermannsgeselle (1799)" or even older
data/music/christmastree.ogg,         Markus Keunecke, public domain, based on score "Es lebe hoch der Zimmermannsgeselle (1799)" or even older
data/music/christmastree.wav,         Markus Keunecke, public domain, based on score "Es lebe hoch der Zimmermannsgeselle (1799)" or even older
data/music/christmastree.wav.xz,      Markus Keunecke, public domain, based on score "Es lebe hoch der Zimmermannsgeselle (1799)" or even older
data/music/come_to_rest.ogg,          Storyteller, GPL
data/music/deep_forest.ogg,           Storyteller, GPL
data/music/dungeon_entrance.ogg,      Storyteller, GPL
data/music/lost_in_the_fog.ogg,       Storyteller, GPL
data/music/medieval_harp.ogg,         Storyteller, GPL
data/music/mystical_aura.ogg,         Storyteller, GPL
data/music/new_hope.ogg,              Storyteller, GPL
data/music/ohhowjoyfully.mid,         Markus Keunecke, public domain, based on score republished by Johann Gottfried Herders (1744–1803) in Sammlung Stimmen der Völker in Liedern
data/music/ohhowjoyfully.mscz,        Markus Keunecke, public domain, based on score republished by Johann Gottfried Herders (1744–1803) in Sammlung Stimmen der Völker in Liedern
data/music/ohhowjoyfully.ogg,         Markus Keunecke, public domain, based on score republished by Johann Gottfried Herders (1744–1803) in Sammlung Stimmen der Völker in Liedern
data/music/sacred_moments.ogg,        Storyteller, GPL
data/music/sewers.ogg,                Norien, GPL
data/music/snowflakelittlewhiteskirt.mid,     Markus Keunecke, public domain, based on score by Hedwig Haberkern (1837–1902) 
data/music/snowflakelittlewhiteskirt.mp3,     Markus Keunecke, public domain, based on score by Hedwig Haberkern (1837–1902) 
data/music/snowflakelittlewhiteskirt.mscz,    Markus Keunecke, public domain, based on score by Hedwig Haberkern (1837–1902) 
data/music/snowflakelittlewhiteskirt.ogg,     Markus Keunecke, public domain, based on score by Hedwig Haberkern (1837–1902) 
data/music/snowflakelittlewhiteskirt.wav.xz,  Markus Keunecke, public domain, based on score by Hedwig Haberkern (1837–1902) 
data/music/the_forsaken_mine.ogg,     Storyteller, GPL
data/music/the_magical_tower.ogg,     Storyteller, GPL
data/music/the_old_tavern.ogg,        Storyteller, GPL
data/music/warriors_fight.ogg,        Storyteller, GPL
