This file should be synced with: https://stendhalgame.org/wiki/Stendhal:Audio_copyright/SFX

data/sounds/

alligator-1.ogg            U.S. Fish and Wildlife Service; public domain; http://www.fws.gov/video/sound.htm
arrow-hit-1.ogg            Storyteller; GPL
attack-fire-1.ogg          Nic3_one; CC0; http://freesound.org/people/Nic3_one/sounds/166555/
attack-fire-1.wav.xz       Nic3_one; CC0; http://freesound.org/people/Nic3_one/sounds/166555/
attack-fire-2.ogg          Nic3_one; CC0; http://freesound.org/people/Nic3_one/sounds/166555/
attack-fire-2.wav.xz       Nic3_one; CC0; http://freesound.org/people/Nic3_one/sounds/166555/
attack-fire-3.ogg          Nic3_one; CC0; http://freesound.org/people/Nic3_one/sounds/166555/
attack-fire-3.wav.xz       Nic3_one; CC0; http://freesound.org/people/Nic3_one/sounds/166555/
bat-1.ogg                  polymorpheva; CC0; http://www.freesound.org/people/polymorpheva/sounds/104205/
bat-1.wav.xz               polymorpheva; CC0; http://www.freesound.org/people/polymorpheva/sounds/104205/
bat-2.ogg                  polymorpheva; CC0; http://www.freesound.org/people/polymorpheva/sounds/104205/
bat-2.wav.xz               polymorpheva; CC0; http://www.freesound.org/people/polymorpheva/sounds/104205/
bat-3.ogg                  polymorpheva; CC0; http://www.freesound.org/people/polymorpheva/sounds/104205/
bat-3.wav.xz               polymorpheva; CC0; http://www.freesound.org/people/polymorpheva/sounds/104205/
bear-1.ogg                 free sound pack
bear-2.ogg                 free sound pack
bear-2.wav.xz              free sound pack
bear-3.ogg                 free sound pack
bear-3.wav.xz              free sound pack
bee-1.ogg                  nps.gov; public domain; http://soundbible.com/971-Bee.html
bell-1.ogg                 Storyteller; GPL
bird-1b.ogg                free sound pack
bird-2b.ogg                free sound pack
bird-3b.ogg                free sound pack
bird-pigeon-1.ogg          winsx87; CC0; http://freesound.org/people/winsx87/sounds/152024/
bird-pigeon-1.wav.xz       winsx87; CC0; http://freesound.org/people/winsx87/sounds/152024/
bird-pigeon-flap-1.ogg     winsx87; CC0; http://freesound.org/people/winsx87/sounds/152024/
bird-pigeon-flap-1.wav.xz  winsx87; CC0; http://freesound.org/people/winsx87/sounds/152024/
blackbird-11.ogg           free sound pack
blackbird-6b.ogg           free sound pack
blackbird-7b.ogg           free sound pack
blackbird-8b.ogg           free sound pack
bobcat-1.ogg               free sound pack
bobcat-1.wav.xz            free sound pack
bones-1.ogg                free sound pack
bones-2.ogg                Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/16324
bones-2.wav.xz             Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/16324
book-1.ogg                 Storyteller; GPL
book-2.ogg                 Storyteller; GPL
bottle-2.ogg               free sound pack
cat-purr-1.ogg             Belhene; CC0; http://freesound.org/people/Belhene/sounds/157837/
cat-purr-1.wav.xz          Belhene; CC0; http://freesound.org/people/Belhene/sounds/157837/
chicken-1.ogg              free sound pack
chicken-2.ogg              unknown; public domain; http://www.freewebs.com/jordansroom/sounds.html
chicken-chick-1.ogg        Barbamiz; CC0; http://www.freesound.org/people/Barbamiz/sounds/116135/
chicken-chick-1.wav.xz     Barbamiz; CC0; http://www.freesound.org/people/Barbamiz/sounds/116135/
chicken-chick-2.ogg        Barbamiz; CC0; http://www.freesound.org/people/Barbamiz/sounds/116135/
chicken-chick-2.wav.xz     Barbamiz; CC0; http://www.freesound.org/people/Barbamiz/sounds/116135/
clang-dull-1.ogg           alienistcog; CC0; http://www.freesound.org/people/alienistcog/sounds/124711/
clang-dull-1.wav.xz        alienistcog; CC0; http://www.freesound.org/people/alienistcog/sounds/124711/
clang-metallic-1.ogg       lostchocolatelab; CC0; http://www.freesound.org/people/lostchocolatelab/sounds/1468/
clang-metallic-1.wav.xz    lostchocolatelab; CC0; http://www.freesound.org/people/lostchocolatelab/sounds/1468/
click-10.ogg               free sound pack
click-1.ogg                satrebor; CC0; http://www.freesound.org/people/satrebor/sounds/113218/
click-1.wav.xz             satrebor; CC0; http://www.freesound.org/people/satrebor/sounds/113218/
click-4.ogg                free sound pack
click-5.ogg                free sound pack
click-6.ogg                free sound pack
click-8.ogg                free sound pack
click-clack-1.ogg          satrebor; CC0; http://www.freesound.org/people/satrebor/sounds/113218/
click-clack-1.wav.xz       satrebor; CC0; http://www.freesound.org/people/satrebor/sounds/113218/
clock-1.ogg                Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/16323
clock-1.wav.xz             Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/16323
coins-1.ogg                free sound pack
cork-pop-1.ogg             fryzu82; CC0; http://www.freesound.org/people/fryzu82/sounds/142325/
cork-pop-1.wav.xz          fryzu82; CC0; http://www.freesound.org/people/fryzu82/sounds/142325/
cough-11.ogg               free sound pack
cough-2.ogg                free sound pack
cough-3.ogg                free sound pack
cow-1.ogg                  unknown; public domain; http://soundbible.com/1143-Cow-And-Bell.html
cow-2.ogg                  FunnyMan374; CC0; http://freesound.org/people/FunnyMan374/sounds/112068/
cow-2.wav.xz               FunnyMan374; CC0; http://freesound.org/people/FunnyMan374/sounds/112068/
cowbell-1.ogg              cloudyeyetavern; CC0; http://www.freesound.org/people/cloudyeyetavern/sounds/148931/
cowbell-1.wav.xz           cloudyeyetavern; CC0; http://www.freesound.org/people/cloudyeyetavern/sounds/148931/
creak-1.ogg                free sound pack
creak-2.ogg                stephan; public domain; http://soundbible.com/1717-Creaking-Door-Spooky.html
creak-2.wav.xz             stephan; public domain; http://soundbible.com/1717-Creaking-Door-Spooky.html
creak-tree-2.ogg           Department64; CC0; http://www.freesound.org/people/Department64/sounds/95262/
creak-tree-2.wav.xz        Department64; CC0; http://www.freesound.org/people/Department64/sounds/95262/
creaky-door-1.ogg          free sound pack
creaky-door-2.ogg          free sound pack
creaky-door-close-1.ogg    Storyteller; GPL
creaky-door-open-1.ogg     Storyteller; GPL
creaky-door-open-2.ogg     Storyteller; GPL
dishbreak-1.ogg            free sound pack
dishbreak-2.ogg            free sound pack
dishes-1.ogg               free sound pack
dishes-21.ogg              free sound pack
dog-angry-low-1.ogg        Lisa Redfern; public domain; http://soundbible.com/2034-Growling-Snarling-Dogs.html
dog-small-bark-1.ogg       nfrae; CC0; http://freesound.org/people/nfrae/sounds/100032/
dog-small-bark-1.wav.xz    nfrae; CC0; http://freesound.org/people/nfrae/sounds/100032/
dog-small-bark-2.ogg       nfrae; CC0; http://freesound.org/people/nfrae/sounds/100032/
dog-small-bark-2.wav.xz    nfrae; CC0; http://freesound.org/people/nfrae/sounds/100032/
dog-snarl-1.ogg            Lisa Redfern; public domain; http://soundbible.com/2034-Growling-Snarling-Dogs.html
dog-snarl-2.ogg            Lisa Redfern; public domain; http://soundbible.com/2034-Growling-Snarling-Dogs.html
drain-water-11.ogg         free sound pack
eat-1.ogg                  free sound pack
elephant-1.ogg             vataaa; CC0; http://www.freesound.org/people/vataaa/sounds/148873/
elephant-1.wav.xz          vataaa; CC0; http://www.freesound.org/people/vataaa/sounds/148873/
elephant-2.ogg             vataaa; CC0; http://www.freesound.org/people/vataaa/sounds/148873/
elephant-2.wav.xz          vataaa; CC0; http://www.freesound.org/people/vataaa/sounds/148873/
elephant-rumble-1.ogg      unknown; public domain; https://sf.net/projects/myabcs
elephant-rumble-1.wav.xz   unknown; public domain; https://sf.net/projects/myabcs
fart-1.ogg                 free sound pack
fart-1.wav.xz              free sound pack
fire-1.ogg                 Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/16327
fire-1.wav.xz              Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/16327
fire-2.ogg                 free sound pack
fire-3.ogg                 free sound pack
fire-5.ogg                 free sound pack
fire-8.ogg                 free sound pack
fire-sparkes-1.ogg         free sound pack
fishing-1.ogg              vibe_crc + j1987; CC0; http://www.freesound.org/people/vibe_crc/sounds/50623/ + http://www.freesound.org/people/j1987/sounds/95564/
fishing-1.wav.xz           vibe_crc + j1987; CC0; http://www.freesound.org/people/vibe_crc/sounds/50623/ + http://www.freesound.org/people/j1987/sounds/95564/
frog-1.ogg                 free sound pack
frog-1.wav.xz              free sound pack
ghost-1.ogg                free sound pack
ghost-1.wav.xz             free sound pack
ghost-2.ogg                free sound pack
ghost-2.wav.xz             free sound pack
giggle-1.ogg               free sound pack
giggle-1.wav.xz            free sound pack
giggle-2.ogg               free sound pack
giggle-2.wav.xz            free sound pack
glass-break-1.ogg          free sound pack
glass-break-2.ogg          martinimeniscus; CC0; http://www.freesound.org/people/martinimeniscus/sounds/164462/
glass-break-2.wav.xz       martinimeniscus; CC0; http://www.freesound.org/people/martinimeniscus/sounds/164462/
goat-1.ogg                 stephan; public domain; http://soundbible.com/1662-Farm.html
goat-1.wav.xz              stephan; public domain; http://soundbible.com/1662-Farm.html
goat-2.ogg                 stephan; public domain; http://soundbible.com/1632-On-The-Farm.html
goat-2.wav.xz              stephan; public domain; http://soundbible.com/1632-On-The-Farm.html
gorilla-1.ogg              free sound pack
gorilla-1.wav.xz           free sound pack
gorilla-2.ogg              free sound pack
gorilla-2.wav.xz           free sound pack
gorilla-3.ogg              free sound pack
gorilla-3.wav.xz           free sound pack
gorilla-4.ogg              free sound pack
gorilla-4.wav.xz           free sound pack
gorilla-5.ogg              free sound pack
gorilla-5.wav.xz           free sound pack
groan-1.ogg                free sound pack
growl-large-3.ogg          SmallQuadruped; CC0; http://www.freesound.org/people/SmallQuadruped/sounds/42201/
growl-large-3.wav.xz       SmallQuadruped; CC0; http://www.freesound.org/people/SmallQuadruped/sounds/42201/
grunt-1.ogg                free sound pack
