
data/sounds/weather/

rain_heavy.*  Marcus Dellicompagni - www.PoundSound.co.uk; CC0; https://freesound.org/people/dingo1/sounds/134721 (file & uploader removed from freesound.org)
rain_light.*  Zepp2010; CC0; https://freesound.org/people/Zepp2010/sounds/163264
rain.*        klangfabrik; CC0; https://freesound.org/people/klangfabrik/sounds/157149/
thunder-01.*  vonz; CC0; https://freesound.org/people/vonz/sounds/188767/
thunder-02.*  Andy_Gardner; CC0; https://freesound.org/people/Andy_Gardner/sounds/238145/
thunder-03.*  sphion; CC0; https://freesound.org/people/sphion/sounds/158525/
thunder-04.*  sphion; CC0; https://freesound.org/people/sphion/sounds/158525/
thunder-05.*  Dave Welsh; CC0; https://freesound.org/people/Dave%20Welsh/sounds/194364/
thunder-06.*  Dave Welsh; CC0; https://freesound.org/people/Dave%20Welsh/sounds/194364/
thunder-07.*  Xythe; CC0; https://freesound.org/people/Xythe/sounds/37299/
thunder-08.*  Yoyodaman234; CC0; https://freesound.org/people/Yoyodaman234/sounds/253953/
wind_heavy.*  stewdio2003; CC0; https://freesound.org/people/stewdio2003/sounds/238374/
wind_light.*  Dennis Johansson (MrAuralization); CC0; https://freesound.org/people/MrAuralization/sounds/243617/
wind.*        Félix Blume; CC0; https://freesound.org/people/felix.blume/sounds/146436/
