
data/gui/

accountcontrol.png      Stendhal; GPL 2.0 or newer; Stendhal (based on sheep.png)
bag.png                 rg1024, Jordan Irwin (AntumDeluge); CC0; https://openclipart.org/detail/31207
banner_background.*     Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
buddy.png               Svetlana Kushnariova (Cabbit), Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/72969
buddy_offline.png       Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
buddy_online.*          Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
chat.png                Katie Russell (kymara); GPL 2.0 or newer; Stendhal, https://sf.net/p/arianne/patches/433/
click_indicator.png     Jordan Irwin (AntumDeluge); CC0; Stendhal
danger.*                Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
forbidden.*             Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
help.png                Groundhug McHampster (h4mt4r0); GPL 2.0 or newer; Stendhal
karma_scale.png         Chad F?; ???; ??? (https://github.com/arianne/stendhal/commit/e03a756ec3472abeb17bf5d873c5d9bf43f57069)
keyring.png             Anders Asplund (Danter); GPL 2.0 or newer; Stendhal
mana_scale.png          Red Queen?; ???; ??? (https://github.com/arianne/stendhal/commit/1c127af58346025de2fcb7af7ab347bbfa0b0a79)
offline.*               Jordan Irwin (AntumDeluge), dannya; OGA BY 3.0; Stendhal, https://openclipart.org/detail/200582
panel_aqua_tile.png     Jordan Irwin (AntumDeluge); CC BY 3.0; Stendhal
panel_aubergine.png     Viscious-Speed; CC0; https://openclipart.org/detail/122653, https://www.deviantart.com/viscious-speed/art/Inkscape-Patterns-Aubergine-188942588
panel_brick.png         nicubunu; CC0; https://openclipart.org/detail/9520
panel_honeycomb.png     kuba; CC0; https://openclipart.org/detail/325323
panel_leather.png       sharetextures.com; CC0; https://www.sharetextures.com/textures/fabric/leather-4
panel_metal.png         looneybits; CC0; https://opengameart.org/node/93788
panel_stone.png         p0ss; CC BY 3.0; https://opengameart.org/node/5203
panel_wood_h.png        sharetextures.com; CC0; https://www.sharetextures.com/textures/wood/american_oak_1
panel_wood_parquet.png  sharetextures.com; CC0; https://www.sharetextures.com/textures/wood/wood_parquet_65
panel_wood_v.png        sharetextures.com; CC0; https://www.sharetextures.com/textures/wood/american_oak_1
rp.png                  David E. Gervais; CC BY 3.0; https://opengameart.org/node/6622, http://pousse.rapiere.free.fr/tome/
scroll_background.*     Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
settings.png            Katie Russell (kymara); GPL 2.0 or newer; Stendhal
slot.*                  Jordan Irwin (AntumDeluge); CC0; Stendhal
slot-armor.png          Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
slot-bag.png            CC0; Stendhal (based on bag sprite)
slot-boots.png          bleutailfly; OGA BY 3.0; Stendhal
slot-cloak.png          CC0; Stendhal (based on cloak from Dungeon Crawl Stone Soup)
slot-helmet.png         David E. Gervais; CC BY 3.0; https://opengameart.org/node/6622
slot-key.png            Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
slot-legs.png           Jordan Irwin (AntumDeluge); CC0; Stendhal
slot-portfolio.png      Kimmo Rundelin (kiheru), Jordan Irwin (AntumDeluge); CC BY-SA 3.0; Stendhal
slot-pouch.png          Anders Asplund (Danter); GPL 2.0 or newer; Stendhal (based on money/gold.png)
slot-ring.png           Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
slot-shield.png         Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
slot-weapon.png         Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
StendhalIcon.png        Groundhug McHamster (h4mt4ro); GPL 2.0 or newer; Stendhal
StendhalSplash.jpg      Groundhug McHamster (h4mt4ro); GPL 2.0 or newer; Stendhal
trash.*                 Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
tutorial_background.*   Svetlana Kushnariova (Cabbit), Nila122, Kimmo Rundelin (kiheru), Jordan Irwin (AntumDeluge); CC BY-SA 3.0; Stendhal, https://opengameart.org/node/83626, https://opengameart.org/node/29293

data/gui/joystick/

*  Jordan Irwin (AntumDeluge); CC0; Stendhal

data/gui/quickmenu/

chat*         narrowhouse; CC0; https://openclipart.org/detail/171388
chatopts*     Jordan Irwin (AntumDeluge); CC0; Stendhal
joystick*     sagism; CC0; https://openclipart.org/detail/172636
log*          Dungeon Crawl Stone Soup; CC0; Stendhal, https://opengameart.org/node/12210
main*         Jordan Irwin (AntumDeluge); CC0; Stendhal
menu*         Martin Owens (doctormo); CC0; https://openclipart.org/detail/3879
pathfinding*  Jordan Irwin (AntumDeluge); CC0; Stendhal
rotate*       rg1024; CC0; https://openclipart.org/detail/20247
settings*     ben; CC0; https://openclipart.org/detail/192629
sound*        mightyman; CC0; https://openclipart.org/detail/165992

data/maps/effect/

lightning  Gordon Dylan Johnson (GDJ); CC0; https://openclipart.org/detail/268835

data/maps/parallax/

stars  Jordan Irwin (AntumDeluge); CC0; Stendhal

data/sprites/

baby_dragon.png           Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
block.xcf.bz2             Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
cat.png                   bluecarrot16; OGA BY 3.0; https://opengameart.org/node/69399
chest.png                 bleutailfly, Katie Russell (kymara); OGA BY 3.0; Stendhal
corn_field.png            bleutailfly; OGA BY 3.0; Stendhal
failsafe.png              Anders Asplund (Danter); GPL 2.0 or newer; Stendhal
fire.png                  Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
food.png                  Miguel Angel Blanch Lardin; GPL 2.0 or newer; Stendhal
grain_field.png           Daniel Herding (mort), Kimmo Rundelin (kiheru); GPL 2.0 or newer; Stendhal
purple_dragon.*           Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
sheep.png                 Stendhal; GPL 2.0 or newer; Stendhal
shorn-sheep.png           Stendhal; GPL 2.0 or newer; Stendhal
shorn-sheep_more_fur.png  Stendhal; GPL 2.0 or newer; Stendhal
shorn-sheep_some_fur.png  Stendhal; GPL 2.0 or newer; Stendhal
sugar_cane_field.png      geomac; GPL 2.0 or newer; Stendhal

data/sprites/achievements/

age.png                           Markus Keunecke, Jordan Irwin (AntumDeluge); GPL 2.0 or newer; Stendhal
commerce.png                      Anders Asplund (Danter); GPL 2.0 or newer; Stendhal
deathmatch.png                    Angry Amish, Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81446
experience.png                    bleutailfly; OGA BY 3.0; Stendhal
experience_atk.png                OCAL, Jordan Irwin (AntumDeluge); CC0; Stendhal, https://freesvg.org/muscular-biceps-vector-clip-art
experience_def.png                David E. Gervais; CC BY 3.0; https://opengameart.org/node/6622, http://pousse.rapiere.free.fr/tome/, https://opengameart.org/node/6622
experience_ratk.png               David E. Gervais; CC BY 3.0; https://opengameart.org/node/6622, http://pousse.rapiere.free.fr/tome/, https://opengameart.org/node/6622
fighting.png                      David E. Gervais; CC BY 3.0; https://opengameart.org/node/6622, http://pousse.rapiere.free.fr/tome/
friend.png                        Svetlana Kushnariova (Cabbit), Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/72969
interior_zone.*                   Markus Keunecke, Katie Russell (kymara); GPL 2.0 or newer; Stendhal
item.png                          bogdanco, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://openclipart.org/detail/3666
obtain.png                        rg1024, Jordan Irwin (AntumDeluge); CC0; https://openclipart.org/detail/31207
outside_zone.png                  Markus Keunecke, Katie Russell (kymara); GPL 2.0 or newer; Stendhal
production.png                    Kimmo Rundelin (kiheru), Katie Russell (kymara), Daniel Herding (mort), David E. Gervais; GPL 2.0 or newer; Stendhal, https://opengameart.org/node/6622
quest.png                         Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
quest_ados_items.*                David E. Gervais, Jordan Irwin (AntumDeluge); CC BY 3.0; Stendhal, https://opengameart.org/node/6622
quest_kill_blordroughs.*          David E. Gervais, tigertoes, Jordan Irwin (AntumDeluge); CC BY-SA 3.0; Stendhal, https://opengameart.org/node/6622
quest_kirdneh_item.*              David E. Gervais, Kimmo Rundelin (kiheru), Jordan Irwin (AntumDeluge); CC BY-SA 3.0; Stendhal, https://opengameart.org/node/6622
quest_mithrilbourgh_enemy_army.*  David E. Gervais, Daniel Herding (mort), tigertoes, Jordan Irwin (AntumDeluge); GPL 2.0 or newer; Stendhal, https://opengameart.org/node/6622
quest_semos_monster.*             David E. Gervais, Jordan Irwin (AntumDeluge); CC BY 3.0; Stendhal, https://opengameart.org/node/6622
special.png                       zeimusu; CC0; https://openclipart.org/detail/2241
underground_zone.png              Markus Keunecke; GPL 2.0 or newer; Stendhal

data/sprites/block/

block.png              Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
hay_cart.png           Casper Nilsson (C.Nilsson); CC BY-SA 3.0; https://opengameart.org/content/lpc-cnilsson
mine_cart_empty.png    Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
mine_cart_full.png     Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
pumpkin_halloween.png  Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal

data/sprites/combat/

axe.png                      Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
axe_dark.png                 Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
axe_fire.png                 Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
