This file should be synced with: https://stendhalgame.org/wiki/Stendhal:Graphics_copyright/Outfit

data/sprites/outfit/dress/

dress_001.png               Jordan Irwin (AntumDeluge); CC0; Stendhal
dress_002.png               ???; ???; ???
dress_003.png               ???; ???; ???
dress_004.png               Svetlana Kushnariova (Cabbit), Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/72969
dress_005.png               Svetlana Kushnariova (Cabbit); OGA BY 3.0; https://opengameart.org/node/72969
dress_006.png               Svetlana Kushnariova (Cabbit); OGA BY 3.0; https://opengameart.org/node/72969
dress_007.png (gi)          Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/80841
dress_008.png               ???; ???; ???
dress_009.png               ???; ???; ???
dress_010.png               Svetlana Kushnariova (Cabbit); OGA BY 3.0; https://opengameart.org/node/72969
dress_011.png               ???; ???; ???
dress_012.png               ???; ???; ???
dress_013.png               ???; ???; ???
dress_014.png               ???; ???; ???
dress_015.png               ???; ???; ???
dress_016.png               ???; ???; ???
dress_017.png               ???; ???; ???
dress_018.png               Svetlana Kushnariova (Cabbit); OGA BY 3.0; https://opengameart.org/node/72969
dress_019.png               ???; ???; ???
dress_020.png               ???; ???; ???
dress_021.png               ???; ???; ???
dress_022.png               Svetlana Kushnariova (Cabbit); OGA BY 3.0; https://opengameart.org/node/72969
dress_023.png               Svetlana Kushnariova (Cabbit); OGA BY 3.0; https://opengameart.org/node/72969
dress_024.png               ???; ???; ???
dress_025.png               diamonddmgirl; OGA BY 3.0; https://opengameart.org/node/72198
dress_026.png               ???; ???; ???
dress_027.png               Svetlana Kushnariova (Cabbit); OGA BY 3.0; https://opengameart.org/node/72969
dress_028.png               ???; ???; ???
dress_029.png               ???; ???; ???
dress_030.png               ???; ???; ???
dress_031.png               ???; ???; ???
dress_032.png               ???; ???; ???
dress_033.png               bleutailfly, Jordan Irwin (AntumDeluge); ???; Stendhal
dress_034.png               bleutailfly, Jordan Irwin (AntumDeluge); ???; Stendhal
dress_035.png               ???; ???; ???
dress_036.png               ???; ???; ???
dress_037.png (armor)       Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/80916
dress_038.png               ???; ???; ???
dress_039.png               ???; ???; ???
dress_040.png               ???; ???; ???
dress_041.png               ???; ???; ???
dress_042.png (cloak)       Svetlana Kushnariova (Cabbit); OGA BY 3.0; https://opengameart.org/node/72969
dress_043.png               ???; ???; ???
dress_044.*                 bleutailfly, Jordan Irwin (AntumDeluge); ???; Stendhal
dress_045.png               ???; ???; ???
dress_046.png               bleutailfly, Jordan Irwin (AntumDeluge); ???; Stendhal
dress_047.png               bleutailfly, Jordan Irwin (AntumDeluge); ???; Stendhal
dress_048.*                 ???; ???; ???
dress_049.*                 ???; ???; ???
dress_050.png               ???; ???; ???
dress_051.png               ???; ???; ???
dress_052.png               ???; ???; ???
dress_053.png               ???; ???; ???
dress_054.png               ???; ???; ???
dress_055.png               bleutailfly, Jordan Irwin (AntumDeluge); ???; Stendhal
dress_056.png               ???; ???; ???
dress_057.png (lederhosen)  Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/80172
dress_072.png               bleutailfly, Jordan Irwin (AntumDeluge); ???; Stendhal
dress_073.png               ???; ???; ???
dress_074.png               ???; ???; ???
dress_075.png               ???; ???; ???
dress_076.png               ???; ???; ???
dress_078.png               ???; ???; ???
dress_079.png (robes)       ???; ???; ???
dress_080.png               ???; ???; ???
dress_081.png (bunny suit?)    ???; ???; ???
dress_082.png               ???; ???; ???
dress_083.png               ???; ???; ???
dress_084.png               bleutailfly, Jordan Irwin (AntumDeluge); ???; Stendhal
dress_085.png               ???; ???; ???
dress_086.png               ???; ???; ???
dress_087.png (tuxedo)      ???; ???; ???
dress_088.png (wedding dress)  Svetlana Kushnariova (Cabbit); OGA BY 3.0; https://opengameart.org/node/72969
dress_089.png (prison wear)    ???; ???; ???
dress_090.png               ???; ???; ???
dress_091.png               ???; ???; ???
dress_092.png               ???; ???; ???
dress_093.png               ???; ???; ???
dress_094.png               ???; ???; ???
dress_095.png               ???; ???; ???
dress_096.png               ???; ???; ???
dress_097.png               ???; ???; ???
dress_098.png               ???; ???; ???
dress_099.png               ???; ???; ???

data/sprites/outfit/hair/

hair_001.png  Svetlana Kushnariova (Cabbit); OGA BY 3.0; https://opengameart.org/node/72969
hair_002.png  diamonddmgirl; OGA BY 3.0; https://opengameart.org/node/72198
hair_003.png  Yamilian; CC BY-SA 3.0; https://opengameart.org/node/11480
