#
# Word list for the Stendhal conversation parser
# @author Martin Fuchs
#
# The list entries are in the following format:
#  WORD	 TYPE	[PLURAL/VALUE]
#
# WORD is the word in lower case.
# PLURAL is the pluralised form of the word for nouns and verbs.
# VALUE is used to specify the numeric equivalent of numeric expressions.
#
# TYPE is one of the following constants:
#
#  VER			verb
#
#  NOU			noun
#  NOU-AMO		noun specifying amount
#  NOU-ANI		noun, animal
#  NOU-FOO		noun, food
#  NOU-FLU		noun, fluid
#  NOU-PER		person
#  NOU-PER-NAM	person name
#
#  ADJ			adjective/adverb
#  ADJ-COL		color expressions
#
#  NUM			numeral
#  PRE			preposition
#  IGN			word to ignore
#

buy	VER
close	VER
drop	VER
give	VER
go	VER
hold	VER
is	VER	are
look	VER
open	VER
say	VER
speak	VER
summon	VER

alga	NOU	algae
analysis	NOU	analyses
antidote	NOU	antidotes
apple	NOU	apples
arandula	NOU
archer	NOU-PER	archers
archmage	NOU-PER	archmages
archrat	NOU-ANI	archrats
armor	NOU	armors
arrow	NOU	arrows
arundula	NOU	arundulas
axe	NOU	axes
baby	NOU-PER	babies
bag	NOU	bags
bar	NOU	bars
bardiche	NOU	bardiches
bat	NOU	bats
battle	NOU	battles
bear	NOU	bears
beer	NOU-FLU
beholder	NOU	beholders
boar	NOU	boars
bob	NOU-PER-NAM
body	NOU	bodies
book	NOU	books
boot	NOU	boots
boss	NOU-PER	bosses
bottle	NOU	bottles
bow	NOU	bows
box	NOU	boxes
boy	NOU-PER	boys
bread	NOU
broadsword	NOU	broadswords
bronze	NOU	bronzes
buckler	NOU	bucklers
bureau	NOU	bureaux
bush	NOU	bushes
button	NOU	buttons
caboose	NOU	cabooses
carrot	NOU-FOO	carrots
cat	NOU-ANI	cats
caverat	NOU-ANI	caverats
chain	NOU	chains
cheese	NOU-FOO	cheeses
cherry	NOU-FOO	cherries
chicken	NOU-FOO	chickens
chief	NOU-PER	chiefs
child	NOU-PER	children
chunk	NOU	chunks
claymore	NOU	claymores
cloak	NOU	cloaks
club	NOU	clubs
cobra	NOU-ANI	cobras
commander	NOU	commanders
coupon	NOU	coupons
crab	NOU	crabs
creature	NOU	creatures
crossbow	NOU	crossbows
crown	NOU	crowns
cuirasses	NOU	cuirasses
cyclops	NOU	cyclopses
dagger	NOU	daggers
death	NOU	deaths
demon	NOU-PER	demons
deus	NOU-PER	dei
dice	NOU	dice
djinni	NOU-PER	djinn
dog	NOU-ANI	dogs
doll	NOU	dolls
dragon	NOU	dragons
dress	NOU	dresses
dwarf	NOU	dwarves
earth	NOU	earths
eater	NOU	eaters
efreeti	NOU-PER	efreet
elemental	NOU	elementals
elephant	NOU-ANI	elephants
elf	NOU-PER	elves
erinys	NOU	erinyes
eupepsia	NOU	eupepsia
fire	NOU	fires
flail	NOU	flails
flask	NOU	flasks
flour	NOU	flours
foot	NOU	feet
gargoyle	NOU	gargoyles
ghost	NOU-PER	ghosts
giantrat	NOU-ANI	giantrats
gnome	NOU-PER	gnomes
goblin	NOU-PER	goblins
golem	NOU-PER	golems
goose	NOU-ANI	geese
grain	NOU-FOO	grains
guardian	NOU-PER	guardians
halberd	NOU	halberds
ham	NOU	hams
hammer	NOU	hammers
hand	NOU	hands
hat	NOU	hats
he	NOU-PER	they
helium	NOU	helia
helmet	NOU	helmets
hero	NOU	heros
home	NOU	homes
house	NOU	houses
human	NOU	humans
hunter	NOU	hunters
hypha	NOU	hyphae
i	NOU-PER	we
ice	NOU	ices
index	NOU	indices
iron	NOU	irons
it	NOU-OBJ	they
katana	NOU	katanas
key	NOU	keys
knife	NOU	knives
knight	NOU	knights
kobold	NOU	kobolds
kymara	NOU-PER-NAM
larva	NOU	larvae
leader	NOU-PER	leaders
leg	NOU	legs
lich	NOU	liches
lion	NOU-ANI	lions
loaf	NOU-AMO	loaves
log	NOU	logs
longbow	NOU	longbows
lotus	NOU	lotuses
mace	NOU	maces
mage	NOU-PER	mages
man	NOU-PER	men
map	NOU	maps
match	NOU	matches
matrix	NOU	matrices
meat	NOU
militia	NOU	militia
money	NOU	money
monkey	NOU	monkeys
moose	NOU	moose
mouse	NOU	mice
mumak	NOU	mumakil
